Telescope,Aperture,Focal length
Altair 8 inch f4 Astrograph,800,203.2
Altair Astro Deepfield 250mm RC,2500,250
Altair Astro Lightwave 60mm,420,60
Altair Astro Lightwave 80mm,500,80
Altair Astro Starwave 80 ED,555,80
Altair Astro Starwave 102 ED,715,102
Altair Astro Starwave 110 ED,770,110
Altair Astro Wave 80 ED,480,80
Altair Astro Wave 102 ED,715,102
Altair Astro Wave 115 ED,805,115
Altair Astro Wave 130 ED,915,130
Altair Planeta Super Planetary 250mm,4500,250
Antares Sentinel 80mm,480,80
APM APO 80/480,480,80
APM APO 107/700,700,107
Astro-Physics 130GT,819,130
Astro-Physics 155EDF,1085,155
Astro-Tech AT6RC,1370,152.4
Astro-Tech AT8IN,800,203.2
Astro-Tech AT8RC,1625,203.2
Astro-Tech AT10IN,1016,254
Astro-Tech AT10RC,2000,254
Astro-Tech AT12IN,1200,300
Astro-Tech AT65EDQ,420,65
Astro-Tech AT65EDQ ,420,65
Astro-Tech AT66 ED,400,66
Astro-Tech AT72ED,430,72
Astro-Tech AT90EDT,600,90
Astro-Tech AT111EDT,777,111
Astro-Tech AT130,780,130
Boren Simon PowerNewt 6",430,152
Boren Simon PowerNewt 8",568,200
Boren Simon PowerNewt 10",722,254
Borg 77ED II,330,77
Borg 101ED f/4.1,414,101
Bresser Messier R152s,760,152
Bresser Skylux 70/700,700,70
Bushnell Northstar 90mm,1250,90
Bushnell Northstar 100mm,1300,100
Bushnell Northstar 127mm,1550,127
Bushnell Northstar 525 x 3",700,76
Bushnell Northstar 675 x 4.5",900,114
Cape Newise 200 F6,1200,200
Celestron AstroMaster 70AZ,900,70
Celestron AstroMaster 70EQ,900,70
Celestron AstroMaster 76EQ,700,76
Celestron AstroMaster 90AZ,1000,90
Celestron AstroMaster 90EQ,1000,90
Celestron AstroMaster 114AZ,1000,114
Celestron AstroMaster 114EQ,1000,114
Celestron AstroMaster 130EQ,650,130
Celestron C5,1250,127
Celestron C6-A-XLT,1500,152.4
Celestron C6-NGT,750,152.4
Celestron C6-RGT,1200,152.4
Celestron C6-SGT,1500,152.4
Celestron C8-A XLT,2032,203.2
Celestron C8-NGT,1000,203.2
Celestron C8-SGT (XLT),2032,203.2
Celestron C9 1/4-A XLT,2350,235
Celestron C9 1/4-SGT (XLT),2350,235
Celestron C10-NGT,1200,254
Celestron C11-A XLT,2800,279.4
Celestron C11-SGT (XLT),2800,279.4
Celestron C14-A XLT,3910,355.6
Celestron C80ED-RGT,600,80
Celestron C100ED-RGT,900,100
Celestron C130-MGT,2000,130
Celestron CGE 800 (XLT),2032,203.2
Celestron CGE 925 (XLT),2350,235
Celestron CGE 1100 (XLT),2800,279.4
Celestron CGE 1400 (XLT),3910,355.6
Celestron CPC 800 GPS (XLT),2032,203.2
Celestron CPC 925 GPS (XLT),2350,235
Celestron CPC 1100 GPS (XLT),2800,279.4
Celestron CR-150 HD,1200,150
Celestron Edge HD 8,2032,203.2
Celestron Edge HD 9.25,2350,235
Celestron Edge HD 11,2800,279.4
Celestron FirstScope,300,76
Celestron NexStar 4 SE,1325,101.6
Celestron NexStar 5 SE,1250,127
Celestron NexStar 6 SE,1500,152.4
Celestron NexStar 8 SE,2032,203.2
Celestron NexStar 60 SLT,700,60
Celestron NexStar 80 SLT,900,80
Celestron NexStar 90SLT,1250,90
Celestron NexStar 102 SLT,660,102
Celestron NexStar 114 SLT,1000,114
Celestron Nexstar 127SLT,1500,127
Celestron Nexstar 130 GT,650,130
Celestron NexStar 130 SLT,650,130
Celestron Omni XLT 102,1000,102
Celestron Omni XLT 120,1000,120
Celestron Omni XLT 127,1250,127
Celestron Omni XLT 150,750,150
Celestron Onyx 80EDF,500,80
Celestron Powerseeker 50,600,50
Celestron Powerseeker 60,700,60
Celestron Powerseeker 60 EQ,900,60
Celestron PowerSeeker 70EQ,700,70
Celestron Powerseeker 76,900,76
Celestron Powerseeker 80 EQ,900,80
Celestron Powerseeker 114 EQ,900,114
Celestron Powerseeker 127 EQ,1000,127
Celestron SkyProdigy 90,1250,90
Celestron SkyProdigy 130,650,130
Celestron StarHopper 6,1219,152.4
Celestron StarHopper 8,1219,203.2
Celestron StarHopper 10,1270,254
Celestron StarHopper 12,1500,304.8
Celestron Travel Scope 70,400,70
Celestron TravelScope 50,360,50
Celestron Wide View 102mm,500,102
Coronado PST,400,40
Coronado SolarMax 40,400,40
Coronado SolarMax 60,400,60
Coronado SolarMax 70,400,70
